epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.757,2.02649,4.3595,1.56679,0.00569,0.16056,0.05812,0.04676,1.58076,4.40555,1.39063,0.00016422,0.00016422,0.00016422
2,438.8,1.50193,3.69303,1.20848,0.01417,0.50799,0.11505,0.08,1.26518,3.74011,1.11346,0.000328936,0.000328936,0.000328936
3,652.942,1.38364,3.03294,1.15982,0.5878,0.1642,0.18364,0.12306,1.34292,3.23448,1.14442,0.000486865,0.000486865,0.000486865
4,862.976,1.38781,2.54804,1.15546,0.39987,0.19056,0.22928,0.13295,1.45493,3.10066,1.19288,0.000638009,0.000638009,0.000638009
5,1088.1,1.30289,2.21319,1.11676,0.39825,0.46701,0.34418,0.21371,1.28661,2.27778,1.16394,0.000657451,0.000657451,0.000657451
6,1293.89,1.33075,2.14327,1.12435,0.33764,0.57884,0.37659,0.22591,1.31214,2.02574,1.14554,0.000643314,0.000643314,0.000643314
7,1518.3,1.27044,2.00336,1.09716,0.37293,0.63876,0.42808,0.26859,1.26988,1.87365,1.12953,0.000629177,0.000629177,0.000629177
8,1754.27,1.26162,1.91179,1.09921,0.42187,0.65268,0.4568,0.29086,1.21795,1.83691,1.11827,0.00061504,0.00061504,0.00061504
9,1979.21,1.22906,1.85307,1.09138,0.43052,0.70883,0.48098,0.30252,1.26524,1.74812,1.13757,0.000600902,0.000600902,0.000600902
10,2198.03,1.2357,1.76911,1.08518,0.4538,0.67959,0.5154,0.31117,1.26284,1.74813,1.11965,0.000586765,0.000586765,0.000586765
11,2413.89,1.19732,1.73072,1.07006,0.47028,0.70639,0.5497,0.35384,1.19615,1.63663,1.10253,0.000572628,0.000572628,0.000572628
12,2652.41,1.17605,1.6419,1.07088,0.51072,0.66476,0.58484,0.37727,1.23233,1.5613,1.09091,0.000558491,0.000558491,0.000558491
13,2863.79,1.19246,1.611,1.06347,0.50696,0.69261,0.57248,0.36156,1.17769,1.65081,1.08091,0.000544354,0.000544354,0.000544354
14,3037.8,1.18891,1.57343,1.07284,0.52008,0.72678,0.58938,0.37721,1.1887,1.6131,1.07232,0.000530216,0.000530216,0.000530216
15,3215.18,1.15547,1.52993,1.0568,0.54663,0.68246,0.62353,0.40544,1.13818,1.515,1.04654,0.000516079,0.000516079,0.000516079
16,3391.21,1.11337,1.47981,1.04185,0.57258,0.74518,0.64616,0.42745,1.11723,1.50081,1.03354,0.000501942,0.000501942,0.000501942
17,3567.23,1.14843,1.47375,1.04406,0.55278,0.75218,0.65106,0.4153,1.20783,1.40891,1.05975,0.000487805,0.000487805,0.000487805
18,3744.81,1.14758,1.47418,1.05257,0.57401,0.72774,0.65823,0.4275,1.14668,1.50438,1.03988,0.000473668,0.000473668,0.000473668
19,3918.81,1.12264,1.39754,1.04325,0.61048,0.74152,0.68027,0.4318,1.18985,1.35827,1.06874,0.00045953,0.00045953,0.00045953
20,4093.47,1.12541,1.41267,1.03833,0.59992,0.73589,0.67593,0.43195,1.1579,1.35507,1.05136,0.000445393,0.000445393,0.000445393
21,4267.6,1.09686,1.34971,1.0234,0.63296,0.73326,0.69794,0.4462,1.14438,1.37455,1.04835,0.000431256,0.000431256,0.000431256
22,4447.74,1.09929,1.31033,1.02911,0.62338,0.71607,0.71066,0.45921,1.15269,1.31917,1.0529,0.000417119,0.000417119,0.000417119
23,4623.83,1.09528,1.30762,1.02468,0.61124,0.73659,0.70976,0.45629,1.13005,1.37012,1.04134,0.000402982,0.000402982,0.000402982
24,4801.04,1.06422,1.28013,1.00727,0.65671,0.75867,0.7326,0.46974,1.14042,1.35,1.03684,0.000388844,0.000388844,0.000388844
25,4980.58,1.05983,1.2626,1.01402,0.6635,0.75053,0.73595,0.46667,1.18193,1.26967,1.05433,0.000374707,0.000374707,0.000374707
26,5161.57,1.06792,1.24324,1.02284,0.66638,0.72947,0.74656,0.48382,1.15314,1.27276,1.04281,0.00036057,0.00036057,0.00036057
27,5341.63,1.07145,1.25871,1.01139,0.67841,0.71634,0.72806,0.44762,1.25996,1.38716,1.05956,0.000346433,0.000346433,0.000346433
28,5519.8,1.0715,1.23586,1.01685,0.6789,0.78939,0.73743,0.47723,1.1521,1.24117,1.04465,0.000332296,0.000332296,0.000332296
29,5700.29,1.04276,1.20118,0.99277,0.6674,0.77569,0.75415,0.48963,1.13943,1.20705,1.04628,0.000318158,0.000318158,0.000318158
30,5877.66,1.02349,1.17883,1.00444,0.71613,0.78284,0.76023,0.48495,1.17192,1.21898,1.04516,0.000304021,0.000304021,0.000304021
31,6058.79,1.04776,1.15995,1.00808,0.67655,0.78359,0.7605,0.4946,1.1589,1.15238,1.05199,0.000289884,0.000289884,0.000289884
32,6240.96,1.08242,1.14289,1.01972,0.68705,0.77488,0.75622,0.47827,1.2177,1.19547,1.07493,0.000275747,0.000275747,0.000275747
33,6419,1.03249,1.14541,0.99636,0.74613,0.77594,0.77821,0.50469,1.15881,1.18375,1.03853,0.00026161,0.00026161,0.00026161
34,6596.68,1.03043,1.11402,1.01133,0.71313,0.78082,0.78306,0.50343,1.18603,1.20257,1.04661,0.000247472,0.000247472,0.000247472
35,6779.96,1.05785,1.13154,0.994,0.72657,0.76509,0.77838,0.48726,1.25663,1.2208,1.06528,0.000233335,0.000233335,0.000233335
36,6959.92,1.00167,1.12505,0.99344,0.66868,0.76018,0.77575,0.51055,1.12652,1.18306,1.04303,0.000219198,0.000219198,0.000219198
37,7138.05,1.02757,1.11276,1.00762,0.74349,0.79635,0.80455,0.53289,1.14337,1.10254,1.04041,0.000205061,0.000205061,0.000205061
38,7318.79,1.0119,1.05967,0.97851,0.72337,0.81186,0.80446,0.53352,1.13528,1.11397,1.0328,0.000190924,0.000190924,0.000190924
39,7502.82,1.0071,1.11275,0.99567,0.71756,0.78718,0.79271,0.52967,1.12153,1.09214,1.03965,0.000176786,0.000176786,0.000176786
40,7686.38,0.99207,1.0619,0.9875,0.72325,0.76798,0.79722,0.52815,1.12615,1.12074,1.03639,0.000162649,0.000162649,0.000162649
41,7867.07,1.00362,1.12615,1.00204,0.71595,0.75187,0.77945,0.50036,1.23664,1.20949,1.06153,0.000148512,0.000148512,0.000148512
42,8046.87,1.00583,1.10233,0.9917,0.71973,0.78573,0.79025,0.5238,1.1669,1.13558,1.04943,0.000134375,0.000134375,0.000134375
43,8223.94,0.99644,1.04324,0.99972,0.72547,0.80643,0.79453,0.52596,1.14172,1.09058,1.04124,0.000120238,0.000120238,0.000120238
44,8396.45,0.96734,1.01234,0.99368,0.73721,0.80819,0.79312,0.51939,1.17284,1.12091,1.04718,0.0001061,0.0001061,0.0001061
45,8576.41,0.97411,1.01714,0.98184,0.75304,0.79239,0.80295,0.52967,1.13999,1.08675,1.03925,9.19632e-05,9.19632e-05,9.19632e-05
46,8757.29,0.96822,0.99306,0.97264,0.76526,0.7887,0.8062,0.53861,1.11983,1.0733,1.03724,7.7826e-05,7.7826e-05,7.7826e-05
47,8940.78,0.97981,1.00254,0.98048,0.7521,0.82795,0.81699,0.54534,1.13132,1.05789,1.03438,6.36888e-05,6.36888e-05,6.36888e-05
48,9120.85,0.95934,0.98763,0.97382,0.7547,0.84137,0.8267,0.54947,1.12676,1.05369,1.03057,4.95516e-05,4.95516e-05,4.95516e-05
49,9300.41,0.9514,0.97338,0.97193,0.75252,0.83616,0.82756,0.5484,1.13288,1.05033,1.03427,3.54144e-05,3.54144e-05,3.54144e-05
50,9479.87,0.93928,0.94861,0.96003,0.76051,0.8218,0.83063,0.54989,1.12897,1.04671,1.03573,2.12772e-05,2.12772e-05,2.12772e-05
